timestamp,x,x_dot,pitch,pitch_rate,u_pitch,cmd_x,target_speed,height,k_x,k_x_dot,k_theta,k_theta_dot,eff_target_pitch,eff_target_pitch_rate
0.920105,-0.180731,-0.104071,0.0583031,-0.0232549,-1.99379,0.0797514,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.925111,-0.181155,-0.100988,0.0585525,-0.0131268,-1.19562,0.0478249,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.930112,-0.181155,-0.100988,0.0585525,-0.0131268,-1.19562,0.0478249,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.935109,-0.181952,-0.099926,0.059576,0.00914766,0.391834,-0.0156734,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.940124,-0.181952,-0.099926,0.059576,0.00914766,0.391834,-0.0156734,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.94511,-0.182431,-0.0973209,0.0600395,0.0165574,1.05614,-0.0422456,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.950113,-0.182431,-0.0973209,0.0600395,0.0165574,1.05614,-0.0422456,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.955121,-0.182274,-0.0916712,0.0593804,0.000657385,0.247993,-0.00991973,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.960119,-0.182274,-0.0916712,0.0593804,0.000657385,0.247993,-0.00991973,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.965111,-0.181851,-0.0849754,0.0582315,-0.0209692,-0.955802,0.0382321,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.970106,-0.181851,-0.0849754,0.0582315,-0.0209692,-0.955802,0.0382321,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.975055,-0.181851,-0.0849754,0.0582315,-0.0209692,-0.955802,0.0382321,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.980091,-0.181752,-0.0802306,0.0577278,-0.0262374,-1.14917,0.0459667,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.985107,-0.181752,-0.0802306,0.0577278,-0.0262374,-1.14917,0.0459667,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.990069,-0.182135,-0.0781307,0.0581637,-0.0126099,-0.150513,0.00602051,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
0.995128,-0.182135,-0.0781307,0.0581637,-0.0126099,-0.150513,0.00602051,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.00018,-0.182594,-0.0765225,0.0587848,0.00191169,0.918684,-0.0367474,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.00507,-0.182594,-0.0765225,0.0587848,0.00191169,0.918684,-0.0367474,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
