time,height,height_rate,x,x_ref,x_error,x_dot,pitch,pitch_rate,theta_eq_nominal,theta_eq_adaptive,theta_error,nominal_com_y,nominal_com_z,delta_y_obs,filtered_delta_y_obs,delta_y_hat,delta_y_step,filtered_x_error,filtered_x_dot,correction_error,observation_valid,gate_open,adapt_enabled,adapt_update_paused,window_progress,window_position_range,cooldown_remaining,u_raw,u_model,tau_each
140.219,0.5,0,0.0194354,0,0.0194354,4.44115e-11,0.0616989,1.25382e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.79744e-11,0,1,0,1,0,0,0,4.409,0.101609,0.101609,-0.0508044
140.224,0.5,0,0.0194354,0,0.0194354,4.43781e-11,0.0616989,1.27263e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.79386e-11,0,1,0,1,0,0,0,4.404,0.101609,0.101609,-0.0508044
140.229,0.5,0,0.0194354,0,0.0194354,4.43446e-11,0.0616989,1.27263e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.79028e-11,0,1,0,1,0,0,0,4.399,0.101609,0.101609,-0.0508044
140.234,0.5,0,0.0194354,0,0.0194354,4.43112e-11,0.0616989,1.29146e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.78671e-11,0,1,0,1,0,0,0,4.394,0.101609,0.101609,-0.0508044
140.239,0.5,0,0.0194354,0,0.0194354,4.42778e-11,0.0616989,1.29146e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.78314e-11,0,1,0,1,0,0,0,4.389,0.101609,0.101609,-0.0508044
140.244,0.5,0,0.0194354,0,0.0194354,4.42445e-11,0.0616989,1.30141e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.77957e-11,0,1,0,1,0,0,0,4.384,0.101609,0.101609,-0.0508044
140.249,0.5,0,0.0194354,0,0.0194354,4.42113e-11,0.0616989,1.30141e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.776e-11,0,1,0,1,0,0,0,4.379,0.101609,0.101609,-0.0508044
140.254,0.5,0,0.0194354,0,0.0194354,4.41782e-11,0.0616989,1.29781e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.77244e-11,0,1,0,1,0,0,0,4.374,0.101609,0.101609,-0.0508044
140.259,0.5,0,0.0194354,0,0.0194354,4.41453e-11,0.0616989,1.29781e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.76888e-11,0,1,0,1,0,0,0,4.369,0.101609,0.101609,-0.0508044
140.264,0.5,0,0.0194354,0,0.0194354,4.41125e-11,0.0616989,1.28096e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.76532e-11,0,1,0,1,0,0,0,4.364,0.101609,0.101609,-0.0508044
140.269,0.5,0,0.0194354,0,0.0194354,4.40797e-11,0.0616989,1.28096e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.76176e-11,0,1,0,1,0,0,0,4.359,0.101609,0.101609,-0.0508044
140.274,0.5,0,0.0194354,0,0.0194354,4.40471e-11,0.0616989,1.25614e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.75821e-11,0,1,0,1,0,0,0,4.354,0.101609,0.101609,-0.0508044
140.279,0.5,0,0.0194354,0,0.0194354,4.40145e-11,0.0616989,1.25614e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.75466e-11,0,1,0,1,0,0,0,4.349,0.101609,0.101609,-0.0508044
140.284,0.5,0,0.0194354,0,0.0194354,4.39819e-11,0.0616989,1.23323e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.75112e-11,0,1,0,1,0,0,0,4.344,0.101609,0.101609,-0.0508044
140.289,0.5,0,0.0194354,0,0.0194354,4.39493e-11,0.0616989,1.23323e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.74757e-11,0,1,0,1,0,0,0,4.339,0.101609,0.101609,-0.0508044
140.293,0.5,0,0.0194354,0,0.0194354,4.39166e-11,0.0616989,1.21946e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.74473e-11,0,1,0,1,0,0,0,4.335,0.101609,0.101609,-0.0508044
140.298,0.5,0,0.0194354,0,0.0194354,4.38839e-11,0.0616989,1.21946e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.74119e-11,0,1,0,1,0,0,0,4.33,0.101609,0.101609,-0.0508044
140.303,0.5,0,0.0194354,0,0.0194354,4.38511e-11,0.0616989,1.22088e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.73765e-11,0,1,0,1,0,0,0,4.325,0.101609,0.101609,-0.0508044
140.308,0.5,0,0.0194354,0,0.0194354,4.38182e-11,0.0616989,1.22088e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.73411e-11,0,1,0,1,0,0,0,4.32,0.101609,0.101609,-0.0508044
140.313,0.5,0,0.0194354,0,0.0194354,4.37853e-11,0.0616989,1.23782e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.73057e-11,0,1,0,1,0,0,0,4.315,0.101609,0.101609,-0.0508044
140.318,0.5,0,0.0194354,0,0.0194354,4.37522e-11,0.0616989,1.23782e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.72703e-11,0,1,0,1,0,0,0,4.31,0.101609,0.101609,-0.0508044
140.323,0.5,0,0.0194354,0,0.0194354,4.37192e-11,0.0616989,1.26218e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.7235e-11,0,1,0,1,0,0,0,4.305,0.101609,0.101609,-0.0508044
140.328,0.5,0,0.0194354,0,0.0194354,4.36861e-11,0.0616989,1.26218e-13,0.0617867,0.0617867,-8.78649e-05,-0.0253744,0.410154,3.61759e-05,3.61759e-05,0,0,0.0194354,4.71997e-11,0,1,0,1,0,0,0,4.3,0.101609,0.101609,-0.0508044
