timestamp,com_height,hip_angle_rad,knee_angle_rad,hip_torque,knee_torque,hip_effort,knee_effort
16.1551,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1551,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1601,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1601,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1651,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1651,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1701,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1701,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1751,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1751,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1801,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1801,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1851,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1851,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1901,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1901,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1951,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.1951,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2001,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2001,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.205,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.205,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2101,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2101,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2151,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2151,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2201,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2201,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2251,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2251,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2301,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2301,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2351,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2351,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2401,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2401,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2451,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2451,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2501,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2502,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2551,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2551,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2601,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2601,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2651,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2651,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2701,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2701,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2751,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2751,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2801,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2801,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2851,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2851,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2901,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2901,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.2951,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
